subbasin,huc8,area_m2,huc8_id,pca_name,internal_mwh,colocation_mwh,hyperscale_mwh,total_mwh,scarcity_factor,plant_state,lat,lon,primary_fuel,co2_tons,water_intensity_m3_per_mwh,carbon_intensity_tons_per_mwh,water_footprint,carbon_footprint
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.7014,-69.8319,BIOMASS,0.0,1.93755189619717,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.763875,-69.71828,HYDRO,0.0,42.49023861171370,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,44.9589,-69.8703,HYDRO,0.0,17.42219832221980,0.0,358023.8592983240,0.0
Lower Kennebec,1030003.0,8885465253.61,1030003,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.15195660911913000,ME,45.0703,-69.9064,HYDRO,0.0,29.91250960068420,0.0,358023.8592983240,0.0
Upper Androscoggin,1040001.0,3549929487.44,1040001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.24310464888919900,ME,44.9439,-70.9975,HYDRO,0.0,711.8550479413420,0.0,572777.0915211730,0.0
Upper Androscoggin,1040001.0,3549929487.44,1040001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.24310464888919900,NH,44.471944,-71.175278,BIOMASS,129017.431,1.93755189619717,0.2584219781232290,572777.0915211730,608866.139298034
Upper Androscoggin,1040001.0,3549929487.44,1040001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.24310464888919900,NH,44.786648,-71.12433,HYDRO,0.0,1385.673382208620,0.0,572777.0915211730,0.0
Upper Androscoggin,1040001.0,3549929487.44,1040001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.24310464888919900,NH,44.704444,-71.2925,WIND,0.0,0.0038,0.0,572777.0915211730,0.0
Upper Androscoggin,1040001.0,3549929487.44,1040001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.24310464888919900,NH,44.466944,-71.225,WIND,0.0,0.0038,0.0,572777.0915211730,0.0
Upper Androscoggin,1040001.0,3549929487.44,1040001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.24310464888919900,NH,44.632842,-71.24742,HYDRO,0.0,19.71101500289160,0.0,572777.0915211730,0.0
Upper Androscoggin,1040001.0,3549929487.44,1040001,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.24310464888919900,NH,44.469463,-71.178062,HYDRO,0.0,0.2240372993905980,0.0,572777.0915211730,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.506315,-70.242312,GAS,90771.508,0.797026152611596,0.27519109569775500,348954.6336559990,648375.735003428
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.506273,-70.239474,BIOMASS,8669.205,1.93755189619717,0.028068124055001700,348954.6336559990,66131.10252781190
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.0867,-70.2297,HYDRO,0.0,9.318377069911420,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,43.920486,-69.967819,HYDRO,0.0,13.82997813646190,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.514722,-70.303056,WIND,0.0,0.0038,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.099461,-70.220851,HYDRO,0.0,5.740358231707320,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.134572,-70.203715,HYDRO,0.0,18.03443665534440,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.152854,-70.209378,HYDRO,0.0,80.99762135886360,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.503704,-70.220971,HYDRO,0.0,53.57265590076000,0.0,348954.6336559990,0.0
Lower Androscoggin,1040002.0,5584844092.1,1040002,ISO New England Inc.,1298151.5479056800,524289.2073183420,533651.9568582900,2356092.712082310,0.14810734393707000,ME,44.470511,-70.187333,HYDRO,0.0,5.160334533127200,0.0,348954.6336559990,0.0
